United States,FIPS,Mortality Rate 1980,507.37
Alabama,1,Mortality Rate 1980,516.87
Autauga County,1001,Mortality Rate 1980,552.68
Baldwin County,1003,Mortality Rate 1980,445.67
Barbour County,1005,Mortality Rate 1980,515.53
Bibb County,1007,Mortality Rate 1980,548.69
Blount County,1009,Mortality Rate 1980,473.26
Bullock County,1011,Mortality Rate 1980,597.64
Butler County,1013,Mortality Rate 1980,550.37
Calhoun County,1015,Mortality Rate 1980,537.99
Chambers County,1017,Mortality Rate 1980,485.45
Cherokee County,1019,Mortality Rate 1980,542.97
Chilton County,1021,Mortality Rate 1980,547.04
Choctaw County,1023,Mortality Rate 1980,531.36
Clarke County,1025,Mortality Rate 1980,552.28
Clay County,1027,Mortality Rate 1980,489.58
Cleburne County,1029,Mortality Rate 1980,520.06
Coffee County,1031,Mortality Rate 1980,448.47
Colbert County,1033,Mortality Rate 1980,514.95
Conecuh County,1035,Mortality Rate 1980,533.95
Coosa County,1037,Mortality Rate 1980,502.43
Covington County,1039,Mortality Rate 1980,510.27
Crenshaw County,1041,Mortality Rate 1980,522.87
Cullman County,1043,Mortality Rate 1980,483.06
Dale County,1045,Mortality Rate 1980,466.1
Dallas County,1047,Mortality Rate 1980,503.84
DeKalb County,1049,Mortality Rate 1980,540.16
Elmore County,1051,Mortality Rate 1980,559.31
Escambia County,1053,Mortality Rate 1980,529.06
Etowah County,1055,Mortality Rate 1980,543.85
Fayette County,1057,Mortality Rate 1980,476.39
Franklin County,1059,Mortality Rate 1980,553.24
Geneva County,1061,Mortality Rate 1980,516.35
Greene County,1063,Mortality Rate 1980,535.74
Hale County,1065,Mortality Rate 1980,583.82
Henry County,1067,Mortality Rate 1980,559.4
Houston County,1069,Mortality Rate 1980,506.26
Jackson County,1071,Mortality Rate 1980,576.29
Jefferson County,1073,Mortality Rate 1980,487.64
Lamar County,1075,Mortality Rate 1980,541.52
Lauderdale County,1077,Mortality Rate 1980,438.63
Lawrence County,1079,Mortality Rate 1980,535.99
Lee County,1081,Mortality Rate 1980,562.7
Limestone County,1083,Mortality Rate 1980,561.62
Lowndes County,1085,Mortality Rate 1980,530.88
Macon County,1087,Mortality Rate 1980,537.46
Madison County,1089,Mortality Rate 1980,527.54
Marengo County,1091,Mortality Rate 1980,553.97
Marion County,1093,Mortality Rate 1980,465.79
Marshall County,1095,Mortality Rate 1980,548.18
Mobile County,1097,Mortality Rate 1980,529.17
Monroe County,1099,Mortality Rate 1980,483.01
